user_id,mix_id,mix_name,mix.tags,track_id,track_name,artist_name
278,311,A mix at 09:00 AM,,2813,Arcadia (Telefon Tel Aviv remix),Apparat
278,311,A mix at 09:00 AM,,904,Stripped,Depeche Mode
278,311,A mix at 09:00 AM,,3087,Black Tongue,Yeah Yeah Yeahs
278,311,A mix at 09:00 AM,,1685,Someone Great,LCD Soundsystem
278,311,A mix at 09:00 AM,,3204,Pogo,Digitalism
278,311,A mix at 09:00 AM,,754,Everything In Its Right Place,Radiohead
278,311,A mix at 09:00 AM,,658,Mayonaise,Smashing Pumpkins
278,311,A mix at 09:00 AM,,2878,Jimmy,M.I.A.
278,311,A mix at 09:00 AM,,185,Ghost Trains,Erlend Oye
278,311,A mix at 09:00 AM,,140,Wishing (If I Had a Photograph of You),A Flock of Seagulls
278,311,A mix at 09:00 AM,,3337,Things You Can Do,TV On The Radio
278,311,A mix at 09:00 AM,,123,Da Ya Think I'm Sexy?,Rod Stewart
278,311,A mix at 09:00 AM,,2366,A Punchup at a Wedding,Radiohead
278,311,A mix at 09:00 AM,,1459,I Found a Reason,Cat Power
278,311,A mix at 09:00 AM,,2498,Rock Music,The Pixies
278,311,A mix at 09:00 AM,,752,Bodysnatchers,Radiohead
