user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
1550,Gotta Serve Somebody,Bob Dylan - ,70341,bd42b3cd-0d17-49ca-b575-d3fc88c9fa16,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/b/bd/bd42b3cd-0d17-49ca-b575-d3fc88c9fa16-0.json,FALSE
1550,Graceland,Paul Simon,37711,1ff35b17-2f3d-40d1-9cd8-e9768bf031c1,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/1f/1ff35b17-2f3d-40d1-9cd8-e9768bf031c1-0.json,FALSE
1550,Slip Slidin' Away,Paul Simon,157649,0b0eef78-fa1c-4965-8bd6-fc1e549f2345,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/0b/0b0eef78-fa1c-4965-8bd6-fc1e549f2345-0.json,TRUE,not_danceable,0.829457104206,male,0.967381238937,electronic,0.989319145679,ambient,0.682694375515,rhy,0.920383632183,jaz,0.313974827528,VienneseWaltz,0.572671353817,acoustic,0.970272600651,not_aggressive,0.996372520924,not_electronic,0.790678083897,not_happy,0.746268332005,not_party,0.968683481216,relaxed,0.958777427673,sad,0.730362415314,Cluster3,0.547323465347,bright,0.985623896122,tonal,0.759759306908,voice,0.886333286762
1550,I'm A Man,Bo Diddley,170711,8d081386-bb8c-4fe4-8b40-6d0ac765c0ab,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/8d/8d081386-bb8c-4fe4-8b40-6d0ac765c0ab-0.json,TRUE,danceable,0.587822079659,female,0.698891043663,folkcountry,0.423686355352,ambient,0.817714095116,jaz,0.330136865377,jaz,0.313974827528,ChaChaCha,0.68130081892,acoustic,0.939173340797,not_aggressive,0.963472247124,not_electronic,0.739096999168,not_happy,0.586301505566,not_party,0.791340172291,not_relaxed,0.806399285793,not_sad,0.5,Cluster3,0.27951836586,bright,0.973742306232,tonal,0.984960377216,voice,0.987978875637
1550,Trouble Me,"10,000 Maniacs",14394,6ff7e14d-9561-4cdf-92c1-bcbe32146791,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/6f/6ff7e14d-9561-4cdf-92c1-bcbe32146791-0.json,FALSE
1550,Battle Flag,Lo Fidelity Allstars,164360,9cdc12b6-9233-43d1-89e5-951739340822,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/9/9c/9cdc12b6-9233-43d1-89e5-951739340822-0.json,FALSE
1550,Nothing Compares 2 U,Sinead O'connor,46906,0cb24673-10a1-4457-9786-249e60d32fb1,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/0c/0cb24673-10a1-4457-9786-249e60d32fb1-0.json,FALSE
1550,Wagon Wheel,Old Crow Medicine Show,88050,80be7145-d704-418b-8aae-6f28bfd47b20,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/80/80be7145-d704-418b-8aae-6f28bfd47b20-0.json,TRUE,not_danceable,0.569331526756,male,0.992431879044,electronic,0.902533113956,ambient,0.706604659557,rhy,0.605494379997,jaz,0.313987255096,Tango,0.642782926559,acoustic,0.939992129803,not_aggressive,0.994969725609,not_electronic,0.957479357719,happy,0.841658771038,not_party,0.937990367413,not_relaxed,0.967228472233,sad,0.633150041103,Cluster3,0.472353249788,bright,0.994068980217,tonal,0.99649065733,voice,0.909304440022
1550,The Sky Is Crying,Stevie Ray Vaughan & Double Trouble,126716,4de8e887-f989-4770-a78e-efb45b5ae255,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/4d/4de8e887-f989-4770-a78e-efb45b5ae255-0.json,FALSE
1550,I Be's Troubled,Muddy Waters,23239,3ae7d3ae-3171-4469-8e67-2e2dcd13a431,23705,"rock, soundtrack, soundtracks",suck it up.  no whining.  ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/3/3a/3ae7d3ae-3171-4469-8e67-2e2dcd13a431-0.json,FALSE
